排名,投资组合ID,投资组合名称,总收益率,更新时间,累计抓涨停次数,调仓类型,调仓股票,标的代码,调仓收益率,最新收益日期,最新收益率
1,20818,国改2,304.76,09-25 21:15,累计抓涨停7次,SELL,****,300354,12.58,2025-09-24,2.8262
2,31514,波段趋势31,258.2,09-25 21:15,累计抓涨停6次,SELL,***,002837,258.09,2025-09-24,2.3191
3,21009,笑忘歌,241.14,09-25 21:15,累计抓涨停23次,SELL,****,300918,9.72,2025-09-24,2.309
4,18828,跨越牛熊短线出击,223.11,09-25 21:15,累计抓涨停15次,SELL,****,002549,11.55,2025-09-24,2.2504
5,16668,领先遥遥,210.84,09-25 21:15,累计抓涨停12次,SELL,****,301123,98.75,2025-09-24,2.128
6,10384,周期主线核心龙头,207.43,09-25 21:15,累计抓涨停97次,SELL,****,603516,30.86,2025-09-24,2.0502
7,14409,趋势中军策略,180.5,09-25 21:15,累计抓涨停25次,BUY,****,300308,162.52,2025-09-24,1.7386
8,15755,小盘成长波段,165.75,09-25 21:15,累计抓涨停17次,BUY,****,688787,0.36,2025-09-24,1.6324
9,9967,价值投机组合,151.63,09-25 21:15,累计抓涨停346次,SELL,****,603516,12.5,2025-09-24,1.4324
10,20799,欢乐2号组合,139.09,09-25 21:15,累计抓涨停7次,BUY,****,300698,1.71,2025-09-24,1.3581
11,29573,大道致简,137.26,09-25 21:15,累计抓涨停45次,SELL,****,300857,39.17,2025-09-24,1.3901
12,21589,短线亮剑,126.55,09-25 21:15,累计抓涨停19次,SELL,***,603686,25.1,2025-09-24,1.3416
13,12515,K线寻宝日志,125.19,09-25 21:15,累计抓涨停22次,SELL,****,688041,121.33,2025-09-24,1.2551
14,12368,空中加油超短战法,121.42,09-25 21:15,累计抓涨停19次,SELL,****,000977,5.85,2025-09-24,1.1868
15,9550,狙击宝VIP,119.27,09-25 21:15,累计抓涨停32次,SELL,****,002460,418.23,2025-09-24,1.1841
16,32865,孙波短线快刀1号,117.62,09-25 21:15,累计抓涨停26次,SELL,****,605288,63.91,2025-09-24,1.1678
17,19721,赢在当下,113.45,09-25 21:15,累计抓涨停22次,SELL,****,688120,48.9,2025-09-24,1.1728
18,21181,003号时代组合,107.71,09-25 21:15,累计抓涨停23次,SELL,****,002475,22.25,2025-09-23,1.0015
19,20888,趋势擒牛30,107.0,09-25 21:15,累计抓涨停4次,SELL,****,601086,2.41,2025-09-24,1.0983
20,29609,仙人指路A5,106.55,09-25 21:15,累计抓涨停18次,SELL,****,000698,27.46,2025-09-24,1.0703
21,20011,富利冲锋号8,103.13,09-25 21:15,累计抓涨停15次,SELL,****,300680,310.58,2025-09-24,1.0255
22,32813,大势决定仓位,100.1,09-25 21:15,累计抓涨停8次,SELL,****,301421,12.56,2025-09-24,1.0757
23,32993,麒麟10号,98.98,09-25 21:15,0次,SELL,****,300115,28.95,2025-09-24,0.9769
24,3376,风口龙头战法,98.11,09-25 21:15,累计抓涨停40次,SELL,***,301308,13.38,2025-09-24,0.9539
25,32212,启航突破,96.58,09-25 21:15,累计抓涨停13次,SELL,****,300620,44.78,2025-09-24,0.9413
26,4990,龙头起爆核心组合,96.47,09-25 21:15,累计抓涨停18次,SELL,****,688521,9.44,2025-09-24,0.9763
27,7832,潜龙出海vip,96.05,09-25 21:15,累计抓涨停64次,SELL,****,300548,5.53,2025-09-24,0.9575
28,21059,股海擒龙88,95.55,09-25 21:15,累计抓涨停4次,SELL,****,300475,236.17,2025-09-24,1.0391
29,22136,潜伏真龙,92.8,09-25 21:15,累计抓涨停20次,BUY,****,600895,18.41,2025-09-24,0.9017
30,22860,持股磨人爆发惊人,89.62,09-25 21:15,累计抓涨停7次,SELL,****,002960,14.62,2025-09-24,0.9281
31,30397,全球市场配置,84.59,09-25 21:15,0次,BUY,****,688981,16.0,2025-09-23,0.7615
32,20324,智慧之树,83.12,09-25 21:15,累计抓涨停32次,SELL,****,300131,15.06,2025-09-24,0.7212
33,30790,股海掘金8,82.15,09-25 21:15,累计抓涨停9次,SELL,****,300308,147.28,2025-09-24,0.8155
34,12812,中华有为,80.3,09-25 21:15,累计抓涨停21次,BUY,***,601127,516.02,2025-09-24,0.7653
35,3263,价值超短,75.44,09-25 21:15,累计抓涨停49次,SELL,****,002115,15.25,2025-09-23,0.7218
36,18028,玥升热门短线波段,74.34,09-25 21:15,累计抓涨停14次,SELL,****,300115,39.04,2025-09-24,0.7283
37,19895,超短线牛股,68.03,09-25 21:15,累计抓涨停9次,SELL,****,688017,25.08,2025-09-24,0.6508
38,32742,金羿仓,66.77,09-25 21:15,累计抓涨停4次,BUY,****,300467,21.3,2025-09-24,0.6662
39,15832,日进千金VIP,66.43,09-25 21:15,累计抓涨停28次,SELL,****,002460,53.61,2025-09-23,0.6278
40,15526,宏利一号,66.36,09-25 21:15,累计抓涨停27次,SELL,****,600699,75.13,2025-09-23,0.5927
41,19598,混沌波段策略,65.83,09-25 21:15,累计抓涨停11次,SELL,****,300852,53.28,2025-09-24,0.6576
42,14025,探潜寻龙,62.81,09-25 21:15,累计抓涨停7次,BUY,****,688789,9.34,2025-09-24,0.6225
43,19211,科技之春,60.92,09-25 21:15,累计抓涨停141次,SELL,****,300476,21.02,2025-09-24,0.5912
44,32445,弈短淘金,57.04,09-25 21:15,累计抓涨停7次,SELL,***,002402,175.14,2025-09-24,0.6292
45,32778,智投策略,54.83,09-25 21:15,累计抓涨停15次,SELL,****,601138,13.42,2025-09-24,0.5529
46,32335,上班炒妖,46.55,09-25 21:15,累计抓涨停24次,BUY,****,002709,14.26,2025-09-24,0.4309
47,31382,波段拥抱未来,39.96,09-25 21:15,累计抓涨停11次,SELL,***,603893,103.56,2025-09-24,0.3914
48,33111,东分短线6622,39.69,09-25 21:15,累计抓涨停4次,SELL,****,600162,13.9,2025-09-24,0.3559
49,32680,买在起涨点123,36.8,09-25 21:15,累计抓涨停9次,SELL,****,301042,6.41,2025-09-24,0.374
50,32873,牛奔奔,29.33,09-25 21:15,累计抓涨停4次,BUY,****,300308,6.09,2025-09-23,0.319
