报告期,日期,盈利能力评分,行业排名,百分比排名,评价摘要
2014年报,2014-12-31,4.23076925,5/26,80.77,“包装印刷”行业内排名5/26，综合盈利能力优秀。其近3年净资产收益率平均为26.32%，净利率平均为18.24%，相关财务总体表现位于行业头部。
2015年报,2015-12-31,3.97058825,8/34,76.47,“包装印刷”行业内排名8/34，综合盈利能力良好。其近4年净资产收益率平均为23.35%，毛利率平均为39.03%，相关财务总体表现高于行业平均水平。
2016一季报,2016-03-31,3.52941175,11/34,67.65,“包装印刷”行业内排名11/34，综合盈利能力良好。其近5年净资产收益率平均为23.35%，营业利润率平均为22.77%，相关财务总体表现高于行业平均水平。
2016中报,2016-06-30,3.2894737,14/38,63.16,“包装印刷”行业内排名14/38，综合盈利能力良好。其近5年净资产收益率平均为23.35%，营业利润率平均为22.43%，相关财务总体表现高于行业平均水平。
2016三季报,2016-09-30,3.84615385,10/39,74.36,“包装印刷”行业内排名10/39，综合盈利能力良好。其近5年净资产收益率平均为21.77%，毛利率平均为38.80%，相关财务总体表现高于行业平均水平。
2016年报,2016-12-31,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为21.78%，净利率平均为17.69%，相关财务总体表现高于行业平均水平。
2017一季报,2017-03-31,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为19.32%，毛利率平均为39.56%，相关财务总体表现高于行业平均水平。
2017中报,2017-06-30,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为19.43%，毛利率平均为39.42%，相关财务总体表现高于行业平均水平。
2017三季报,2017-09-30,3.9473684,9/38,76.32,“包装印刷”行业内排名9/38，综合盈利能力良好。其近5年净资产收益率平均为19.75%，净利率平均为18.50%，相关财务总体表现高于行业平均水平。
2017年报,2017-12-31,3.7179487,11/39,71.79,“包装印刷”行业内排名11/39，综合盈利能力良好。其近5年净资产收益率平均为19.10%，净利率平均为18.08%，相关财务总体表现高于行业平均水平。
2018一季报,2018-03-31,3.75,11/40,72.5,“包装印刷”行业内排名11/40，综合盈利能力良好。其近5年净资产收益率平均为14.64%，净利率平均为17.49%，且总体稳定性较好。
2018中报,2018-06-30,4.1025641,8/39,79.49,“包装印刷”行业内排名8/39，综合盈利能力优秀。其近5年净资产收益率平均为14.61%，净利率平均为17.40%，且总体稳定性较好。
2018三季报,2018-09-30,4.34210525,6/38,84.21,“包装印刷”行业内排名6/38，综合盈利能力优秀。其近5年净资产收益率平均为14.62%，净利率平均为17.23%，且总体稳定性较好。
2018年报,2018-12-31,4.07894735,8/38,78.95,“包装印刷”行业内排名8/38，综合盈利能力优秀。其近5年净资产收益率平均为14.78%，净利率平均为17.57%，且总体稳定性较好。
2019一季报,2019-03-31,4.60526315,4/38,89.47,“包装印刷”行业内排名4/38，综合盈利能力优秀。其近5年净资产收益率平均为13.11%，净利率平均为17.09%，且总体稳定性较好。
2019中报,2019-06-30,4.4871795,5/39,87.18,“包装印刷”行业内排名5/39，综合盈利能力优秀。其近5年净资产收益率平均为13.56%，净利率平均为16.83%，且总体稳定性较好。
2019三季报,2019-09-30,3.97435895,9/39,76.92,“包装印刷”行业内排名9/39，综合盈利能力良好。其近5年净资产收益率平均为13.16%，净利率平均为16.54%，相关财务总体表现高于行业平均水平。
2019年报,2019-12-31,2.3076923,22/39,43.59,“包装印刷”行业内排名22/39，综合盈利能力尚可。其近5年净资产收益率平均为11.88%，净利率平均为15.15%，相关财务总体表现位于行业中部。
2020一季报,2020-03-31,1.15384615,31/39,20.51,“包装印刷”行业内排名31/39，综合盈利能力一般。其近5年净资产收益率平均为9.83%，营业利润率平均为16.45%，且总体稳定性不佳。
2020中报,2020-06-30,1.46341465,30/41,26.83,“包装印刷”行业内排名30/41，综合盈利能力一般。其近5年净资产收益率平均为9.92%，营业利润率平均为16.50%，且总体稳定性不佳。
2020三季报,2020-09-30,0.93023255,36/43,16.28,“包装印刷”行业内排名36/43，综合盈利能力较低。其近5年净资产收益率平均为9.72%，营业利润率平均为16.36%，且总体稳定性不佳。
2020年报,2020-12-31,2.61363635,22/44,50.0,“包装印刷”行业内排名22/44，综合盈利能力尚可。其近5年净资产收益率平均为10.63%，营业利润率平均为18.78%，相关财务总体表现位于行业中部。
2021一季报,2021-03-31,3.1111111,18/45,60.0,“包装印刷”行业内排名18/45，综合盈利能力良好。其近5年净资产收益率平均为9.05%，营业利润率平均为17.78%，相关财务总体表现高于行业平均水平。
2021中报,2021-06-30,3.2222222,17/45,62.22,“包装印刷”行业内排名17/45，综合盈利能力良好。其近5年净资产收益率平均为9.01%，净利率平均为14.68%，相关财务总体表现高于行业平均水平。
2021三季报,2021-09-30,3.22916665,18/48,62.5,“包装印刷”行业内排名18/48，综合盈利能力良好。其近5年净资产收益率平均为8.97%，净利率平均为14.80%，相关财务总体表现高于行业平均水平。
2021年报,2021-12-31,2.08333335,29/48,39.58,“包装印刷”行业内排名29/48，综合盈利能力尚可。其近5年净资产收益率平均为8.12%，营业利润率平均为15.56%，相关财务总体表现位于行业中部。
2022一季报,2022-03-31,2.60416665,24/48,50.0,“包装印刷”行业内排名24/48，综合盈利能力尚可。其近5年净资产收益率平均为6.47%，净利率平均为11.18%，相关财务总体表现位于行业中部。
2022中报,2022-06-30,2.5,25/48,47.92,“包装印刷”行业内排名25/48，综合盈利能力尚可。其近5年净资产收益率平均为6.53%，营业利润率平均为12.49%，相关财务总体表现位于行业中部。
2022三季报,2022-09-30,4.0425532,10/47,78.72,“包装印刷”行业内排名10/47，综合盈利能力优秀。其近5年净资产收益率平均为10.55%，营业利润率平均为25.90%，相关财务总体表现位于行业头部。
2022年报,2022-12-31,4.25531915,8/47,82.98,“包装印刷”行业内排名8/47，综合盈利能力优秀。其近5年净资产收益率平均为10.05%，净利率平均为20.68%，相关财务总体表现位于行业头部。
2023一季报,2023-03-31,4.375,7/48,85.42,“包装印刷”行业内排名7/48，综合盈利能力优秀。其近5年净资产收益率平均为11.84%，净利率平均为28.53%，相关财务总体表现位于行业头部。
2023中报,2023-06-30,4.375,7/48,85.42,“包装印刷”行业内排名7/48，综合盈利能力优秀。其近5年净资产收益率平均为12.34%，净利率平均为29.63%，相关财务总体表现位于行业头部。
2023三季报,2023-09-30,2.91666665,21/48,56.25,“包装印刷”行业内排名21/48，综合盈利能力尚可。其近5年净资产收益率平均为7.86%，毛利率平均为30.44%，相关财务总体表现位于行业中部。
2023年报,2023-12-31,3.85416665,12/48,75.0,“包装印刷”行业内排名12/48，综合盈利能力良好。其近5年净资产收益率平均为8.73%，毛利率平均为31.08%，相关财务总体表现高于行业平均水平。
2024一季报,2024-03-31,3.6170213,14/47,70.21,“包装印刷”行业内排名14/47，综合盈利能力良好。其近5年净资产收益率平均为8.78%，营业利润率平均为25.63%，相关财务总体表现高于行业平均水平。
2024中报,2024-06-30,3.9361702,11/47,76.6,“包装印刷”行业内排名11/47，综合盈利能力良好。其近5年净资产收益率平均为10.06%，毛利率平均为31.20%，相关财务总体表现高于行业平均水平。
2024三季报,2024-09-30,4.14893615,9/47,80.85,“包装印刷”行业内排名9/47，综合盈利能力优秀。其近5年净资产收益率平均为10.51%，毛利率平均为31.13%，相关财务总体表现位于行业头部。
2024年报,2024-12-31,4.25531915,8/47,82.98,“包装印刷”行业内排名8/47，综合盈利能力优秀。其近5年净资产收益率平均为10.80%，毛利率平均为32.04%，相关财务总体表现位于行业头部。
2025一季报,2025-03-31,4.25531915,8/47,82.98,“包装印刷”行业内排名8/47，综合盈利能力优秀。其近5年净资产收益率平均为12.81%，毛利率平均为32.56%，相关财务总体表现位于行业头部。
